City,Beds,Furnishing,Total_Listings,Avg_Rent
Ras Al Khaimah,5,Unfurnished,23,207173.0
Ras Al Khaimah,6,Furnished,1,95000.0
Ras Al Khaimah,6,Unfurnished,15,142000.0
Ras Al Khaimah,7,Furnished,3,120000.0
Ras Al Khaimah,7,Unfurnished,2,150000.0
Ras Al Khaimah,8,Furnished,2,270000.0
Ras Al Khaimah,8,Unfurnished,3,246667.0
Ras Al Khaimah,11,Unfurnished,5,210600.0
Sharjah,0,Furnished,68,35426.0
Sharjah,0,Unfurnished,1511,21878.0
Sharjah,1,Furnished,103,52624.0
Sharjah,1,Unfurnished,3507,34761.0
Sharjah,2,Furnished,23,82723.0
Sharjah,2,Unfurnished,2577,45744.0
Sharjah,3,Furnished,30,111200.0
Sharjah,3,Unfurnished,1058,77965.0
Sharjah,4,Furnished,9,135000.0
Sharjah,4,Unfurnished,313,121981.0
Sharjah,5,Furnished,5,143000.0
Sharjah,5,Unfurnished,219,141714.0
Sharjah,6,Unfurnished,45,140555.0
Sharjah,7,Furnished,6,233333.0
Sharjah,7,Unfurnished,12,149583.0
Sharjah,8,Furnished,3,210000.0
Sharjah,8,Unfurnished,15,198333.0
Sharjah,9,Unfurnished,4,125000.0
Sharjah,10,Unfurnished,3,283333.0
Sharjah,11,Furnished,1,600000.0
Sharjah,11,Unfurnished,4,258750.0
Umm Al Quwain,0,Furnished,2,22000.0
Umm Al Quwain,0,Unfurnished,12,15083.0
Umm Al Quwain,1,Furnished,1,40000.0
Umm Al Quwain,1,Unfurnished,14,22714.0
Umm Al Quwain,2,Unfurnished,12,35333.0
Umm Al Quwain,3,Unfurnished,11,62545.0
Umm Al Quwain,4,Unfurnished,7,77143.0
Umm Al Quwain,5,Unfurnished,2,87500.0
Umm Al Quwain,6,Unfurnished,3,126667.0
Umm Al Quwain,8,Unfurnished,1,150000.0
